text,label
Confirmo asistencia mañana en la oficina,0
Descubrí cómo multiplicar tus ingresos desde casa con un método sencillo,1
¿Podés pasar por recepción a firmar el documento?,0
Recibí un reembolso que no esperabas y reclámalo antes que caduque,1
Subí el informe final al servidor y dejé notas en el documento,0
Gana premios exclusivos por participar en una evaluación rápida,1
Te dejo la lista de tareas para hoy en el calendario compartido,0
Accedé a un crédito sin papeleo y sin consultas en minutos,1
Perdón el retraso en responder estaba en una reunión,0
Aprovechá esta oportunidad única de ingresos extras desde casa,1
¿Hacemos la videollamada a las 15 para revisar la demo?,0
Multiplica tus ahorros con este truco fiscal poco conocido,1
Gracias por la ayuda con el backup quedó todo perfecto,0
Obtén acceso anticipado a productos con stock limitado,1
¿Podés validar los números antes de enviar la factura?,0
Ingresá tus datos y recibe un bono instantáneo de bienvenida,1
Te llamo en 10 minutos para cerrar el tema de la entrega,0
Recibí un regalo sorpresa por confirmar tus datos personales,1
Confirmo que la mercadería llegó conforme a lo pactado,0
Incrementa tu puntaje y desbloquea tarjetas premium hoy,1
¿Podés preparar el contrato con las modificaciones acordadas?,0
Descubrí el secreto para recibir pagos diarios sin esfuerzo,1
Gracias por la presentación estuvo clarísima y muy útil,0
Formá parte de un grupo exclusivo y cobra por tus opiniones,1
¿Podrías revisar el acta y firmarla si todo está ok?,0
Recibí la notificación de un premio y reclamalo antes de medianoche,1
Hoy trabajo desde casa estaré disponible por chat y mail,0
Te enseñamos a facturar más con plantillas automáticas,1
¿Me confirmás si recibiste el comprobante de pago?,0
Ganá productos de lujo con una encuesta de dos minutos,1
Adjunté las capturas del error para que lo puedas replicar,0
Triplica las visitas a tu perfil en 48 horas con este método,1
Quedó listo el prototipo para la demo del viernes por la mañana,0
Accedé a descuentos secretos solo para suscriptores de hoy,1
Perdón por el cambio de horario avisame si te viene mal,0
Recibe una transferencia inmediata al completar un formulario,1
Te paso el teléfono del proveedor para que coordines el envío,0
Consigue financiación rápida aunque tengas historial negativo,1
¿Podés reservar sala con proyector para el miércoles?,0
Recibí un cupón de uso inmediato por registrarte antes de medianoche,1
Gracias por reemplazarme en la guardia te debo una,0
Aprendé a generar ingresos pasivos en tu tiempo libre,1
¿Me pasás la versión en PDF del manual de usuario?,0
Confirmá tus datos para recibir un regalo sorpresa,1
Quedó aprobado el presupuesto por dirección y se procede,0
Aumentá tus ingresos con simples pasos diarios sin inversión,1
Te agradezco la recomendación el lugar fue un acierto,0
Empieza hoy y gana comisiones por cada referencia que traigas,1
¿Podemos adelantar la entrega al viernes por la mañana?,0
Aprovechá el descuento oculto antes que se termine el stock,1
Confirmo recogida del pedido el lunes a las 8 am,0
Recibiste un paquete virtual con saldo para gastar ahora,1
¿Podés indicar quién será el responsable la semana que viene?,0
Cobrá ya sin esperas por tu trabajo con este servicio express,1
Te dejo el resumen ejecutivo para compartir con el cliente,0
Consigue seguidores reales y aumenta tu engagement en días,1
Perdón por el audio lo repito por escrito para que quede claro,0
Obtén acceso VIP a perfiles seleccionados por tiempo limitado,1
¿Podrías priorizar este ticket es urgente para el cliente?,0
Duplica tu cartera con un método probado por usuarios reales,1
Gracias por la devolución ya incorporé los cambios solicitados,0
Ingresá y reclamá bonos que no aparecen en tu cuenta,1
Confirmo que la versión móvil pasó QA sin incidencias,0
Activá promociones ocultas para recibir un reembolso parcial,1
¿Me pasás el número de orden para rastrear el envío?,0
Te invitamos a una prueba gratuita con beneficios exclusivos,1
Te llamo mañana temprano para coordinar las pruebas de usuario,0
Convierte tus recomendaciones en efectivo en solo 48 horas,1
Adjunto la tabla con los indicadores del trimestre,0
Multiplica tu lista de contactos con esta estrategia automatizada,1
¿Podés dejar listo el presupuesto para enviar al cliente?,0
Recibí pagos sin comisiones a través de un sistema alternativo,1
Gracias por ocuparte del alta del empleado nuevo,0
Cobra por poner un anuncio en tu perfil y recibe ingresos,1
¿Podés confirmar si la reunión será presencial o remota?,0
Gana entradas gratis por compartir una publicación hoy,1
Perdón sigo en tránsito llego en 20 minutos,0
Impulsa tu negocio con un sistema de leads automatizados,1
Te paso la lista de asistentes para preparar las acreditaciones,0
Recibí recompensas por cada amigo que invites al servicio,1
Confirmo la entrega parcial para mañana a primera hora,0
Accede a préstamos flexibles sin garantías ni avales,1
¿Podés avisarme cuando llegues al edificio para bajar el material?,0
Multiplica tu cuenta en redes con pocos clics diarios,1
Perfecto dejo la llave en recepción antes de salir,0
Recibí un reembolso por error y te explicamos cómo conservarlo,1
¿Podrías gestionar la devolución con el proveedor?,0
Obtén tarjetas con beneficios exclusivos al registrarte hoy,1
Te mando el acta de la última junta para que la revises,0
Participá en un sorteo internacional validando tus datos,1
¿Quieres que llame al cliente para coordinar la demostración?,0
Aprovecha un cupón oculto que aplica al finalizar compra,1
Buenas noches mañana retomo el tema con el equipo,0
Recibe pagos recurrentes por compartir esta oferta con amigos,1
¿Te parece bien si lo dejamos para el miércoles por la tarde?,0
Haz pruebas ahora y recibe comisiones por cada instalación,1
Me olvidé de enviar el reporte lo tenés en tu bandeja ahora,0
Gana criptomonedas gratis realizando tareas sencillas,1
Gracias por la ayuda con el servidor quedó estable,0
Tu saldo ha sido incrementado por validación automática,1
¿Podrías pasarme los accesos al panel de control?,0
Activa la promoción hoy y recibe devolución proporcional,1
Hoy trabajo desde casa estaré disponible por Slack,0
Genera ingresos extra recomendando productos a tus contactos,1
¿Podrías enviar las fotos del evento cuando tengas un rato?,0
Obtén una prueba gratuita y conserva las ganancias obtenidas,1
Gracias por la sugerencia la implementé y mejoró el rendimiento,0
Recibí un aviso con una recompensa pendiente de reclamar,1
¿Podemos cambiar el formato del informe a A4?,0
Multiplica tu facturación online con pasos comprobados,1
Perdón el mensaje llegó incompleto lo corrijo ahora,0
Convierte tu tiempo libre en una fuente de ingresos estable,1
Te confirmo que el proveedor entregará el lunes por la mañana,0
Recibe pagos instantáneos por completar una simple tarea,1
¿Podrías reservar una sala con proyector para la jornada?,0
Genera ingresos por escribir reseñas y cobra al instante,1
Gracias por la recomendación del hotel lo reservé,0
Recibí un crédito que podés usar en tiendas seleccionadas,1
¿Podés revisar la factura y decirme si falta alguna línea?,0
